,open,high,low,close,volume,symbol,MA20,MA50,daily_return,volatility_20,cumulative_return
2025-10-23,219.0,221.3,218.18,221.09,31539999.0,AMZN,,,,,
2025-10-24,221.97,225.4,221.9,224.21,38685053.0,AMZN,,,0.014111900131168253,,0.014111900131168253
2025-10-27,227.66,228.4,225.54,226.97,38266995.0,AMZN,,,0.012309888051380335,,0.026595504093355427
2025-10-28,228.215,231.485,226.21,229.25,47100026.0,AMZN,,,0.01004538044675507,,0.03690804649690138
2025-10-29,231.672,232.82,227.76,230.3,52036151.0,AMZN,,,0.004580152671755711,,0.04165724365642909
2025-10-30,227.06,228.44,222.75,222.86,102252937.0,AMZN,,,-0.03230568823273994,,0.008005789497489202
2025-10-31,250.1,250.5,243.98,244.22,166340808.0,AMZN,,,0.09584492506506326,,0.10461802885702598
2025-11-03,255.36,258.6,252.9,254.0,95997816.0,AMZN,,,0.040045860289902535,,0.148853408114342
2025-11-04,250.38,257.01,248.66,249.32,51546311.0,AMZN,,,-0.018425196850393677,,0.1276855579175895
2025-11-05,249.03,251.0,246.16,250.2,39234469.0,AMZN,,,0.003529600513396458,,0.1316658374417652
2025-11-06,249.155,250.38,242.17,243.04,46004203.0,AMZN,,,-0.02861710631494807,,0.0992808358586994
2025-11-07,242.9,244.9,238.49,244.41,46374294.0,AMZN,,,0.005636932192231825,,0.10547740739065481
2025-11-10,248.34,251.75,245.59,248.4,36476514.0,AMZN,,,0.016325027617527965,,0.12352435659686045
2025-11-11,248.41,249.7499,247.23,249.1,23564060.0,AMZN,,,0.0028180354267310914,,0.1266904880365456
2025-11-12,250.235,250.37,243.75,244.2,31190063.0,AMZN,,,-0.01967081493376155,,0.10452756795874918
2025-11-13,243.05,243.75,236.5,237.58,41401738.0,AMZN,,,-0.027108927108926983,,0.07458501062915501
2025-11-14,235.06,238.73,232.89,234.69,38956669.0,AMZN,,,-0.012164323596262405,,0.06151341082816897
2025-11-17,233.25,234.6,229.19,232.87,59919018.0,AMZN,,,-0.007754910733307696,,0.05328146908498743
2025-11-18,228.1,230.2,222.42,222.55,60608442.0,AMZN,,,-0.04431657147764845,,0.006603645574200012
2025-11-19,223.735,223.735,218.52,222.69,58335643.0,AMZN,236.5975,,0.0006290721186250625,,0.007236871862137173
2025-11-20,227.05,227.41,216.74,217.14,50308962.0,AMZN,236.4,,-0.0249225380573892,0.030516826156366337,-0.017866027409652596
2025-11-21,216.345,222.21,215.18,220.69,68490464.0,AMZN,236.224,,0.016348899327622846,0.030577126237914847,-0.0018092179655346818
2025-11-24,222.555,227.33,222.27,226.28,54318395.0,AMZN,236.1895,,0.025329647922425202,0.030996750687212398,0.023474603102808578
2025-11-25,226.38,230.52,223.8,229.67,39379339.0,AMZN,236.21049999999997,,0.01498143892522541,0.031097979103240258,0.03880772536071264
2025-11-26,230.74,231.7474,228.77,229.16,38497922.0,AMZN,236.15350000000004,,-0.0022205773501109416,0.031088647469264534,0.03650097245465633
2025-11-28,231.24,233.285,230.22,233.22,20292329.0,AMZN,236.67149999999998,,0.017716879036481004,0.030339110215688515,0.054864534804830445
2025-12-01,233.22,235.797,232.25,233.88,42903954.0,AMZN,236.1545,,0.0028299459737586297,0.02100159248405399,0.057849744447962204
2025-12-02,235.005,238.97,233.55,234.42,45785363.0,AMZN,235.1755,,0.002308876346844402,0.01858623750770002,0.0602921887014336
2025-12-03,233.35,233.38,230.61,232.38,35495058.0,AMZN,234.3285,,-0.008702329152802668,0.018309692471439685,0.051065177077208146
2025-12-04,232.77,233.5,226.8,229.11,45683224.0,AMZN,233.27399999999997,,-0.014071778982700622,0.018384414668509947,0.036274820208964664
2025-12-05,230.32,231.24,228.547,229.53,33117377.0,AMZN,232.5985,,0.0018331805682858526,0.017498111261539436,0.0381744990727757
2025-12-08,229.59,230.83,226.27,226.89,34681553.0,AMZN,231.7225,,-0.011501764475232101,0.017487550886303948,0.026233660500248668
2025-12-09,226.84,228.57,225.11,227.92,25712299.0,AMZN,230.69849999999997,,0.004539644761778927,0.016973021380636704,0.030892396761499796
