,open,high,low,close,volume,symbol,MA20,MA50,daily_return,volatility_20,cumulative_return
2026-01-08,328.965,330.3196,321.5,325.44,31896101.0,GOOGL,312.4325,302.78,0.01074600906888623,0.013693112703046897,0.28591749644381137
2026-01-09,327.09,330.83,325.8,328.57,26214166.0,GOOGL,312.8505,304.002,0.009617748279252769,0.013684962736532476,0.2982851272324949
2026-01-12,325.8,334.04,325.0,331.86,33923928.0,GOOGL,313.822,305.1478,0.01001308701342185,0.012385795707528863,0.3112849691797053
2026-01-13,334.95,340.49,333.62,335.97,33517607.0,GOOGL,315.156,306.2376,0.012384740553245344,0.01214629072559658,0.3275248933143662
2026-01-14,335.06,336.52,330.48,335.84,28525571.0,GOOGL,316.537,307.3306,-0.0003869393100576213,0.012063245031570885,0.32701122174806274
2026-01-15,337.65,337.69,330.74,332.78,28442406.0,GOOGL,317.84749999999997,308.3118,-0.009111481657932408,0.012250488532820342,0.3149201833412347
2026-01-16,334.41,334.65,327.7,330.0,40341637.0,GOOGL,319.51149999999996,309.36100000000005,-0.00835386741991695,0.009352083608016759,0.3039355144618292
2026-01-20,320.87,327.73,320.43,322.0,34808916.0,GOOGL,320.4885,310.11480000000006,-0.024242424242424288,0.010878342406492547,0.2723249565354817
2026-01-21,320.92,332.4799,319.3518,328.38,35386603.0,GOOGL,321.54949999999997,310.98740000000004,0.019813664596273206,0.0111717371462108,0.29753437648174375
2026-01-22,334.45,335.15,328.75,330.54,26253640.0,GOOGL,322.5875,312.02160000000003,0.006577745295085036,0.01113306846059175,0.3060692271218577
2026-01-23,332.485,333.6889,327.45,327.93,27279974.0,GOOGL,323.2665,312.77819999999997,-0.007896169903793826,0.011059269960925948,0.2957562825983868
2026-01-26,327.805,335.84,327.0,333.26,26042120.0,GOOGL,324.225,313.61719999999997,0.0162534687280822,0.011467223294162053,0.3168168168168157
2026-01-27,335.365,337.91,333.48,334.55,19722250.0,GOOGL,325.277,314.574,0.0038708515873493443,0.011410406326666499,0.32191401928243946
2026-01-28,336.06,337.535,331.94,336.01,27434434.0,GOOGL,326.3995,315.7228,0.004364071140337655,0.011387922400444414,0.3276829461039976
2026-01-29,340.3,342.29,326.54,338.25,39785612.0,GOOGL,327.6195,316.9596,0.0066664682598731595,0.011391293418136552,0.3365339023233749
2026-01-30,340.0,340.0,332.285,338.0,31023954.0,GOOGL,328.8695,318.0192,-0.0007390983000739038,0.01134036444124575,0.33554607238817646
2026-02-02,336.22,344.83,335.63,343.69,32006052.0,GOOGL,330.29650000000004,319.2074,0.016834319526627173,0.011690702990067555,0.35802908171329095
2026-02-03,347.34,349.0,337.4745,339.71,35930599.0,GOOGL,331.455,320.1454,-0.011580203089993968,0.012225175873600176,0.34230282914493304
2026-02-04,342.96,343.31,328.52,333.04,70618398.0,GOOGL,332.39,321.0172,-0.019634394041976866,0.013099552755476444,0.31594752647384117
2026-02-05,312.22,332.69,306.46,331.25,88205849.0,GOOGL,332.8535,321.649,-0.0053747297621907775,0.012206737598618947,0.30887466413782083
2026-02-06,327.18,330.38,319.92,322.86,56380484.0,GOOGL,332.7245,321.7346,-0.02532830188679236,0.013376426079536465,0.27572309151256413
2026-02-09,320.93,327.7,317.26,324.32,39640055.0,GOOGL,332.512,321.7522,0.0045220838753639025,0.013224998384243085,0.2814920183341225
2026-02-10,320.97,321.67,314.61,318.58,39170012.0,GOOGL,331.848,321.7248,-0.017698569314257506,0.013506815031897485,0.25881144302196835
2026-02-11,318.97,321.06,309.66,310.96,45406405.0,GOOGL,330.59749999999997,321.54040000000003,-0.023918638960386707,0.013911890405629533,0.2287023865971225
2026-02-12,312.09,316.24,307.2,309.0,47761288.0,GOOGL,329.2555,321.42260000000005,-0.006303061487007877,0.013899104230587952,0.2209577999051675
2026-02-13,307.725,308.63,303.71,305.72,38499701.0,GOOGL,327.90250000000003,321.2208,-0.010614886731391548,0.01393186647282001,0.20799747115536515
2026-02-17,300.04,304.435,296.25,302.02,39247556.0,GOOGL,326.5035,320.8686,-0.01210257752191568,0.014016515364474347,0.1933775881144293
2026-02-18,302.09,305.38,301.25,303.33,28482075.0,GOOGL,325.57,320.5828,0.004337461095291761,0.013318708922417133,0.19855381697486885
2026-02-19,301.82,305.47,300.04,302.85,25834395.0,GOOGL,324.2935,320.2144,-0.0015824349718127628,0.012211758400802466,0.19665718349928807
2026-02-20,304.32,316.5,303.9,314.98,53210820.0,GOOGL,323.51550000000003,320.2396,0.04005283143470373,0.015566429364212384,0.2445866919551123
2026-02-23,319.045,319.515,309.865,311.49,31422974.0,GOOGL,322.6935,320.1278,-0.011080068575782587,0.01564283470700982,0.23079658605974318
2026-02-24,310.515,312.27,305.93,310.9,25615646.0,GOOGL,321.57550000000003,319.9416,-0.0018941218016630401,0.015014360192436193,0.228465307412675
2026-02-25,312.06,313.64,309.44,312.9,29963621.0,GOOGL,320.49300000000005,319.95099999999996,0.006432936635574205,0.015090042334634934,0.23636794689426188
2026-02-26,312.64,313.14,302.345,307.38,36431231.0,GOOGL,319.06149999999997,319.9128,-0.017641418983700752,0.015307712438861662,0.21455666192508227
2026-02-27,304.135,312.37,303.8,311.76,44640640.0,GOOGL,317.73699999999997,319.9836,0.014249463205153301,0.015683765288510804,0.23186344238975765
2026-03-02,303.225,308.49,301.3,306.52,34790203.0,GOOGL,316.163,319.9826,-0.016807800872466028,0.015920246099026186,0.21115852694800008
2026-03-03,298.59,303.94,296.71,303.58,35496961.0,GOOGL,314.1575,320.1198,-0.009591543781808709,0.015109987542981271,0.19954164691006748
2026-03-04,302.89,305.47,300.75,303.13,29536190.0,GOOGL,312.3285,320.1332,-0.0014823110876869272,0.015085141608709976,0.19776355302671056
2026-03-05,303.035,303.3,297.99,300.88,35752321.0,GOOGL,310.7205,320.00759999999997,-0.0074225579784250595,0.014728972821338362,0.1888730836099255
2026-03-06,296.09,300.53,295.18,298.52,25576916.0,GOOGL,309.084,319.7824,-0.007843658601435877,0.014742950073953771,0.17954796902165282
2026-03-09,294.36,306.8,294.08,306.36,29312149.0,GOOGL,308.25899999999996,319.62260000000003,0.02626289695832784,0.015508303986031138,0.21052631578947345
2026-03-10,306.17,309.51,305.5704,307.04,23239684.0,GOOGL,307.395,319.4816,0.002219610915263015,0.015461860288637073,0.21321321321321296
2026-03-11,306.75,311.42,305.92,308.7,24125714.0,GOOGL,306.901,319.3854,0.005406461698801435,0.015135785054056203,0.21977240398293008
2026-03-12,306.82,308.94,301.03,303.55,24928347.0,GOOGL,306.5305,319.1852,-0.016682863621639066,0.014649527366214074,0.19942310731784407
2026-03-13,307.01,307.69,300.44,302.28,23693092.0,GOOGL,306.1945,318.9538,-0.004183824740569997,0.014617575093815524,0.1944049312470364
2026-03-16,304.35,306.4886,303.0201,305.56,23519709.0,GOOGL,306.18649999999997,318.805,0.010850866746063392,0.014662316148528266,0.20736525999683897
2026-03-17,305.86,311.42,305.5,310.92,21955171.0,GOOGL,306.6315,318.7204,0.017541563031810536,0.014863489930630953,0.22854433380749173
2026-03-18,309.27,312.47,306.932,307.69,20009815.0,GOOGL,306.84950000000003,318.5434,-0.010388524379261632,0.015081650354936903,0.21578157104472884
